Facility_Name,Ownership_Type
LUYAO BARANGAY HEALTH CENTER,Government
MACAÑAO BARANGAY HEALTH STATION,Government
MACUGAY BARANGAY HEALTH STATION,Government
MAMBABANGA BARANGAY HEALTH STATION,Government
PULAY BARANGAY HEALTH STATION,Government
PUROC BARANGAY HEALTH STATION,Government
SAN ISIDRO BARANGAY HEALTH STATION,Government
SAN MIGUEL BARANGAY HEALTH STATION,Government
SANTO DOMINGO BARANGAY HEALTH STATION,Government
UNION KALINGA BARANGAY HEALTH STATION,Government
APLAYA BARANGAY HEALTH STATION,Government
CANADAM BARANGAY HEALTH STATION,Government
DIANA BARANGAY HEALTH STATION,Government
ELEANOR BARANGAY HEALTH STATION,Government
FELY BARANGAY HEALTH STATION,Government
LITA BARANGAY HEALTH STATION,Government
MALASIN BARANGAY HEALTH STATION,Government
MINANGA BARANGAY HEALTH STATION,Government
REINA MERCEDES BARANGAY HEALTH STATION,Government
RURAL HEALTH UNIT MACONACON BIRTHING CENTER,Government
RURAL HEALTH UNIT OF MACONACON,Government
SANTA MARINA BARANGAY HEALTH STATION,Government
A.J.A MEDTECH DIAGNOSTIC LABORATORY,Private
BIMONTON BARANGAY HEALTH STATION,Government
CASILI BARANGAY HEALTH STATION,Government
CENTRO I BARANGAY HEALTH STATION,Government
CENTRO II BARANGAY HEALTH STATION,Government
HOLY FRIDAY BARANGAY HEALTH STATION,Government
MALIGAYA BARANGAY HEALTH STATION,Government
MALLIG BUCAS CENTER,Government
MALLIG INTEGRATED RURAL HEALTH UNIT & BIRTHING CENTER,Government
MALLIG INTEGRATED RURAL HEALTH UNIT AND BIRTHING CENTER,Government
MALLIG SUPER HEALTH CENTER,Government
MANANO BARANGAY HEALTH STATION,Government
OLANGO BARANGAY HEALTH STATION,Government
RANG-AYAN BARANGAY HEALTH STATION,Government
SAN JOSE NORTE I BARANGAY HEALTH STATION,Government
SAN JOSE NORTE II BARANGAY HEALTH STATION,Government
SAN JOSE SUR BARANGAY HEALTH STATION,Government
SAN PEDRO BARANGAY HEALTH STATION,Government
SAN RAMON BARANGAY HEALTH STATION,Government
SIEMPRE VIVA NORTE BARANGAY HEALTH STATION,Government
SIEMPRE VIVA SUR BARANGAY HEALTH STATION,Government
TRINIDAD BARANGAY HEALTH STATION,Government
VICTORIA BARANGAY HEALTH STATION,Government
BURGOS BARANGAY HEALTH STATION,Government
CABARUAN BARANGAY HEALTH STATION,Government
FLORES BARANGAY HEALTH STATION,Government
GBM BIRTHING CENTER,Private
MAGSAYSAY BARANGAY HEALTH STATION,Government
MANSIBANG BARANGAY HEALTH STATION,Government
MINALLO BARANGAY HEALTH STATION,Government
MINANGA BARANGAY HEALTH STATION,Government
MUNICIPAL HEALTH OFFICE BIRTHING CENTER OF NAGUILIAN,Government
MUNICIPAL HEALTH OFFICE OF NAGUILIAN,Government
MUNICIPAL HEALTH OFFICE OF NAGUILIAN,Government
NAGUILIAN MUNICIPAL HEALTH OFFICE CLINICAL LABORATORY,Government
PALATTAO BARANGAY HEALTH STATION,Government
PROVIDERS MULTIPURPOSE COOPERATIVE MEDICAL CENTER,Private
QUINALABASA BARANGAY HEALTH STATION,Government
QUIRINO BARANGAY HEALTH STATION,Government
RIZAL BARANGAY HEALTH STATION,Government
SAN MANUEL BARANGAY HEALTH STATION,Government
SANTO TOMAS BARANGAY HEALTH STATION,Government
SURCOC BARANGAY HEALTH STATION,Government
VILLA PAZ BARANGAY HEALTH STATION,Government
VILLAPAZ BARANGAY HEALTH STATION,Government
ALOMANAY BARANGAY HEALTH STATION,Government
BISAG BARANGAY HEALTH STATION,Government
CULASI BARANGAY HEALTH STATION,Government
DIALAOYAO BARANGAY HEALTH STATION,Government
DICABISAGAN EAST BARANGAY HEALTH STATION,Government
DICABISAGAN WEST BARANGAY HEALTH STATION,Government
DICADYUAN BARANGAY HEALTH STATION,Government
DIDDADUNGAN BARANGAY HEALTH STATION,Government
DIDIYAN BARANGAY HEALTH STATION,Government
DIMALICU-LICU BARANGAY HEALTH STATION,Government
DIMASARI BARANGAY HEALTH STATION,Government
DIMATICAN BARANGAY HEALTH STATION,Government
MALIGAYA BARANGAY HEALTH STATION,Government
MARIKIT BARANGAY HEALTH STATION,Government
PALANAN BIRTHING CENTER,Government
PALANAN RURAL HEALTH UNIT AND BIRTHING CENTER,Government
PALANAN STATION HOSPITAL,Government
SAN ISIDRO BARANGAY HEALTH STATION,Government
SANTA JACINTA BARANGAY HEALTH STATION,Government
VILLA ROBLES BARANGAY HEALTH STATION,Government
ABUT BARANGAY HEALTH STATION,Government
ALUNAN BARANGAY HEALTH CENTER,Government
ARELLANO BARANGAY HEALTH CENTER,Government
AURORA BARANGAY HEALTH CENTER,Government
BARUCBOC BARANGAY HEALTH STATION,Government
CALLANGIGAN BARANGAY HEALTH CENTER,Government
DUMMON BARANGAY HEALTH CENTER,Government
ESTRADA BARANGAY HEALTH CENTER,Government
I LAB Q LABORATORY AND DIAGNOSTIC CENTER,Private
LEPANTO BARANGAY HEALTH STATION,Government
MANGGA BARANGAY HEALTH CENTER,Government
MINAGBAG BARANGAY HEALTH CENTER,Government
QUEZON COMMUNITY HOSPITAL,Government
QUEZON RURAL HEALTH UNIT,Government
SAMONTE BARANGAY HEALTH CENTER,Government
SAN JUAN BARANGAY HEALTH CENTER,Government
SANTOS BARANGAY HEALTH CENTER,Government
TUROD BARANGAY HEALTH STATION,Government
BINARZANG BARANGAY HEALTH STATION,Government
CABARUAN BARANGAY HEALTH STATION,Government
CAMAAL BARANGAY HEALTH STATION,Government
DOLORES BARANGAY HEALTH STATION,Government
LUNA BARANGAY HEALTH STATION,Government
MANAOAG BARANGAY HEALTH STATION,Government
QUIRINO RURAL HEALTH UNIT BIRTHING CENTER,Private
QUIRINO RURAL HEALTH UNIT BIRTHING CENTER,Government
QUIRINO RURAL HEALTH UNIT BIRTHING CENTER,Government
RIZAL BARANGAY HEALTH STATION,Government
SAN ISIDRO BARANGAY HEALTH STATION,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SAN JUAN BARANGAY HEALTH STATION,Government
SAN MATEO BARANGAY HEALTH STATION,Government
SAN VICENTE BARANGAY HEALTH STATION,Government
SANTA CATALINA BARANGAY HEALTH STATION,Government
SANTA LUCIA BARANGAY HEALTH STATION,Government
SANTIAGO BARANGAY HEALTH STATION,Government
Santo Domingo Barangay Health Station,Government
SINAIT BARANGAY HEALTH STATION,Government
SUERTE BARANGAY HEALTH STATION,Government
VILLA BULUSAN BARANGAY HEALTH STATION,Government
VILLA MIGUEL BARANGAY HEALTH STATION,Government
VINTAR BARANGAY HEALTH STATION,Government
AMBATALI BARANGAY HEALTH STATION,Government
BANTUG BARANGAY HEALTH STATION,Government
BUGALLON NORTE BARANGAY HEALTH STATION,Government
BUGALLON PROPER BARANGAY HEALTH STATION,Government
BURGOS BARANGAY HEALTH STATION,Government
DE PADOVA MEDICAL LABORATORY,Private
DEMANO'S MEDICAL AND PEDIATRIC CLINIC,Private
GENERAL AGUINALDO BARANGAY HEALTH STATION,Government
ISMAEL B. VINOYA MEDICAL CORPORATION,Private
LIFE BIRTHING HOME,Private
MEDXSCAN DIAGNOSTIC CENTER,Private
NAGBACALAN BARANGAY HEALTH STATION,Government
OSCARIZ BARANGAY HEALTH STATION,Government
PABIL BARANGAY HEALTH STATION,Government
PAGRANG-AYAN BARANGAY HEALTH STATION,Government
PLANAS BARANGAY HEALTH STATION,Government
PUROK NI BULAN BARANGAY HEALTH STATION,Government
RAMON RURAL HEALTH UNIT,Government
RAMON RURAL HEALTH UNIT BIRTHING CENTER,Government
RAMON RURAL HEALTH UNIT LABORATORY,Government
RANIAG BARANGAY HEALTH STATION,Government
SAN ANTONIO BARANGAY HEALTH STATION,Government
SAN MIGUEL BARANGAY HEALTH STATION,Government
SAN SEBASTIAN BARANGAY HEALTH STATION,Government
VILLA BELTRAN BARANGAY HEALTH STATION,Government
VILLA CARMEN BARANGAY HEALTH STATION,Government
VILLA MARCOS BARANGAY HEALTH STATION,Government
BANQUERO BARANGAY HEALTH STATION,Government
BINARSANG BARANGAY HEALTH STATION,Government
CUTOG PEQUEÑO BARANGAY HEALTH STATION,Government
DANGAN BARANGAY HEALTH STATION,Government
DISTRICT I BARANGAY HEALTH STATION,Government
DISTRICT II BARANGAY HEALTH STATION,Government
LABINAB GRANDE BARANGAY HEALTH STATION,Government
LABINAB PEQUEÑO BARANGAY HEALTH STATION,Government
MALLALATANG GRANDE BARANGAY HEALTH STATION,Government
MALLALATANG TUNGUI BARANGAY HEALTH STATION,Government
NAPPACCU GRANDE BARANGAY HEALTH STATION,Government
NAPPACCU PEQUENO BARANGAY HEALTH STATION,Government
REINA MERCEDES RURAL HEALTH UNIT AND BIRTHING CENTER,Government
REINA MERCEDES RURAL HEALTH UNIT AND BIRTHING CENTER,Government
RURAL HEALTH UNIT REINA MERCEDES CLINICAL LABORATORY,Government
SALUCONG BARANGAY HEALTH STATION,Government
SANTIAGO BARANGAY HEALTH STATION,Government
SANTOR BARANGAY HEALTH STATION,Government
SINIPPIL BARANGAY HEALTH STATION,Government
TALLUNGAN BARANGAY HEALTH STATION,Government
TUROD BARANGAY HEALTH STATION,Government
VILLADOR BARANGAY HEALTH STATION,Government
A.M. YUMENA GENERAL HOSPITAL INC.,Private
ANAO BARANGAY HEALTH STATION,Government
"B. BRAUN AVITUM PHILIPPINES, INC.",Private
BANTUG BARANGAY HEALTH STATION,Government
DAYOS-PASCUAL MEDICAL CLINIC,Private
DOÑA CONCHA BARANGAY HEALTH STATION,Government
DUMLAO HOSPITAL,Private
"HEALTH CITY MEDICAL CENTER OF ISABELA, INC",Private
IMBIAO BARANGAY HEALTH STATION,Government
JADE BIRTHING CLINIC,Private
KLEE DENTAL LABORATORY,Private
LANTING BARANGAY HEALTH STATION,Government
LIFELINE DIAGNOSTIC LABORATORY,Private
LIFELINE DIAGNOSTIC LABORATORY,Private
LUCBAN BARANGAY HEALTH STATION,Government
LUNA BARANGAY HEALTH STATION,Government
MANUEL A. ROXAS DISTRICT HOSPITAL,Government
MARCOS BARANGAY HEALTH STATION,Government
MASIGUN BARANGAY HEALTH STATION,Government
MATUSALEM BARANGAY HEALTH STATION,Government
MAXHEALTH DIAGNOSTICS,Private
MUÑOZ EAST BARANGAY HEALTH STATION,Government
MUÑOZ WEST BARANGAY HEALTH STATION,Government
QUILING BARANGAY HEALTH STATION,Government
RANG-AYAN BARANGAY HEALTH STATION,Government
REALLAB DIAGNOSTIC LABORATORY,Private
RIZAL BARANGAY HEALTH STATION,Government
ROXAS BIRTHING CENTER,Government
ROXAS DIAGNOSTIC LABORATORY,Private
ROXAS RURAL HEALTH UNIT,Government
ROXAS RURAL HEALTH UNIT LABORATORY,Government
RTSC WELLNESS DIAGNOSTIC LABORATORY,Private
RTSC WELLNESS DIAGNOSTIC LABORATORY,Private
SAINT GABRIELLE MEDICAL AND DIAGNOSTIC CENTER,Private
SAN ANTONIO BARANGAY HEALTH STATION,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SAN LUIS BARANGAY HEALTH STATION,Government
SAN PEDRO BARANGAY HEALTH STATION,Government
SAN PLACIDO BARANGAY HEALTH STATION,Government
SAN RAFAEL BARANGAY HEALTH STATION,Government
SIMIMBAAN BARANGAY HEALTH STATION,Government
SINAMAR BARANGAY HEALTH STATION,Government
"SOLLER GENERAL HOSPITAL, INC.",Private
SOTERO NUESA BARANGAY HEALTH STATION,Government
UYCARE INTERNAL MEDICINE AND PULMONARY CLINIC,Private
VILLA CONCEPCION BARANGAY HEALTH STATION,Government
VIRA BARANGAY HEALTH STATION,Government
BAUTISTA BARANGAY HEALTH STATION,Government
CALAOCAN BARANGAY HEALTH STATION,Government
DABUBU GRANDE BARANGAY HEALTH STATION,Government
DABUBU PEQUENO BARANGAY HEALTH STATION,Government
DAPPIG BARANGAY HEALTH STATION,Government
HM MATERNITY AND BIRTHING HOME CLINIC,Private
LAOAG BARANGAY HEALTH STATION,Government
MAPALAD BARANGAY HEALTH STATION,Government
MASAYA NORTE BARANGAY HEALTH STATION,Government
MASAYA SUR BARANGAY HEALTH STATION,Government
PALACIAN BARANGAY HEALTH STATION,Government
SALAY BARANGAY HEALTH STATION,Government
SAN AGUSTIN RURAL HEALTH UNIT,Government
SAN AGUSTIN SUPER HEALTH CENTER,Government
SAN ANTONIO BARANGAY HEALTH STATION,Government
SINAOANGAN SUR BARANGAY HEALTH STATION,Government
STO. NINO BARANGAY HEALTH STATION,Government
VIRGONEZA BARANGAY HEALTH STATION,Government
BURGOS BARANGAY HEALTH STATION,Government
COLORADO BARANGAY HEALTH STATION,Government
DINGADING BARANGAY HEALTH STATION,Government
FERNANDEZ BIRTHING HOME,Private
PALAWAN BARANGAY HEALTH STATION,Government
PROGRESO BARANGAY HEALTH STATION,Government
RIZAL BARANGAY HEALTH STATION,Government
RURAL HEALTH UNIT SAN GUILLERMO,Government
RURAL HEALTH UNIT SAN GUILLERMO BIRTHING HOME,Government
RURAL HEALTH UNIT SAN GUILLERMO LABORATORY,Government
CAMARAG BARANGAY HEALTH STATION,Government
CEBU BARANGAY HEALTH STATION,Government
GOMEZ BARANGAY HEALTH STATION,Government
GUD BARANGAY HEALTH STATION,Government
NAGBUKEL BARANGAY HEALTH STATION,Government
QUEZON BARANGAY HEALTH STATION,Government
RAMOS EAST BARANGAY HEALTH STATION,Government
RAMOS WEST BARANGAY HEALTH STATION,Government
RIZAL EAST BARANGAY HEALTH STATION,Government
RIZAL WEST BARANGAY HEALTH STATION,Government
SAN ISIDRO BIRTHING CENTER,Government
SAN ISIDRO RURAL HEALTH UNIT,Government
VICTORIA BARANGAY HEALTH STATION,Government
VILLAFLOR BARANGAY HEALTH STATION,Government
AGLIAM BARANGAY HEALTH STATION,Government
BABANUANG BARANGAY HEALTH STATION,Government
CABARITAN BARANGAY HEALTH STATION,Government
CARANIOGAN BARANGAY HEALTH STATION,Government
DISTRIC 1 BARANGAY HEALTH STATION,Government
DISTRICT 2 (POB.) BARANGAY HEALTH STATION,Government
DISTRICT 3 BARANGAY HEALTH STATION,Government
DISTRICT 4 (POB.) BARANGAY HEALTH STATION,Government
EDEN BARANGAY HEALTH STATION,Government
MALALINTA BARANGAY HEALTH STATION,Government
MARARIGUE BARANGAY HEALTH STATION,Government
NUEVA ERA BARANGAY HEALTH STATION,Government
PISANG BARANGAY HEALTH STATION,Government
SAN FRANCISCO BARANGAY HEALTH STATION,Government
SAN MANUEL RURAL HEALTH UNIT,Government
SAN MANUEL RURAL HEALTH UNIT BIRTHING CLINIC,Government
SANDIAT CENTRO BARANGAY HEALTH STATION,Government
SANDIAT EAST BARANGAY HEALTH STATION,Government
SANDIAT WEST BARANGAY HEALTH STATION,Government
SANTA CRUZ BARANGAY HEALTH STATION,Government
VILLANUEVA BARANGAY HEALTH STATION,Government
ALIBADABAD BARANGAY HEALTH STATION,Government
BALAGAN BARANGAY HEALTH STATION,Government
BINATUG BARANGAY HEALTH STATION,Government
BITABIAN BARANGAY HEALTH STATION,Government
BUYASAN BARANGAY HEALTH STATION,Government
CADSALAN BARANGAY HEALTH STATION,Government
CASALA BARANGAY HEALTH STATION,Government
CATAGUING BARANGAY HEALTH STATION,Government
DARAGUTAN EAST BARANGAY HEALTH STATION,Government
DARAGUTAN WEST BARANGAY HEALTH STATION,Government
DEL PILAR BARANGAY HEALTH STATION,Government
DIBULUAN BARANGAY HEALTH STATION,Government
DICAMAY BARANGAY HEALTH STATION,Government
DIPUSU BARANGAY HEALTH STATION,Government
DISULAP BARANGAY HEALTH STATION,Government
DISUSUAN BARANGAY HEALTH STATION,Government
GANGALAN BARANGAY HEALTH STATION,Government
IBUJAN BARANGAY HEALTH STATION,Government
LIBERTAD BARANGAY HEALTH STATION,Government
MACAYUCAYU BARANGAY HEALTH STATION,Government
MALLABO BARANGAY HEALTH STATION,Government
MARANNAO BARANGAY HEALTH STATION,Government
MARANNAO BARANGAY HEALTH STATION,Government
MINANGA BARANGAY HEALTH STATION,Government
OLD SAN MARIANO BARANGAY HEALTH STATION,Government
PALUTAN BARANGAY HEALTH STATION,Government
PANNINAN BARANGAY HEALTH STATION,Government
RURAL HEALTH UNIT SAN MARIANO LABORATORY,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SAN MARIANO COMMUNITY HOSPITAL,Government
SAN MARIANO RURAL HEALTH UNIT AND BIRTHING CENTER,Government
SAN MARIANO RURAL HEALTH UNIT AND BIRTHING CENTER,Government
SAN PABLO BARANGAY HEALTH STATION,Government
SAN PEDRO BARANGAY HEALTH STATION,Government
SANTA FILOMINA BARANGAY HEALTH STATION,Government
TAPPA BARANGAY HEALTH STATION,Government
UEG BARANGAY HEALTH STATION,Government
ZAMORA BARANGAY HEALTH STATION,Government
ZONE I (POB.) BARANGAY HEALTH STATION,Government
ZONE II (POB.) BARANGAY HEALTH STATION,Government
ZONE III (POB.) BARANGAY HEALTH STATION,Government
BACAREÑA BARANGAY HEALTH STATION,Government
BAGONG SIKAT BARANGAY HEALTH STATION,Government
BARANGAY I (POB.) BARANGAY HEALTH STATION,Government
BARANGAY II (POB.) BARANGAY HEALTH STATION,Government
BARANGAY III (POB.) BARANGAY HEALTH STATION,Government
BARANGAY IV (POB.) BARANGAY HEALTH STATION,Government
BELLA LUZ BARANGAY HEALTH STATION,Government
DAGUPAN BARANGAY HEALTH STATION,Government
DARAMUANGAN NORTE BARANGAY HEALTH STATION,Government
DARAMUANGAN SUR BARANGAY HEALTH STATION,Government
ESTRELLA BARANGAY HEALTH STATION,Government
EXUS' BIRTHING HOME,Private
GADDANAN BARANGAY HEALTH STATION,Government
"ISABELA EYE CENTER, INC.",Private
JL DIALMED DIALYSIS CENTER-SAN MATEO BRANCH,Private
JUVELO FAMILY CLINIC,Private
MALASIN BARANGAY HEALTH STATION,Government
MAPUROC BARANGAY HEALTH STATION,Government
MARASAT GRANDE BARANGAY HEALTH STATION,Government
MARASAT PEQUEÑO BARANGAY HEALTH STATION,Government
OLD CENTRO 1 BARANGAY HEALTH STATION,Government
OLD CENTRO PROPER BARANGAY HEALTH STATION,Government
PARTO NATURAL BIRTHING HOME,Private
SALINUNGAN EAST BARANGAY HEALTH STATION,Government
SALINUNGAN WEST BARANGAY HEALTH STATION,Government
SAN ANDRES BARANGAY HEALTH STATION,Government
SAN ANTONIO BARANGAY HEALTH STATION,Government
SAN IGNACIO BARANGAY HEALTH STATION,Government
SAN MANUEL BARANGAY HEALTH STATION,Government
SAN MARCOS BARANGAY HEALTH STATION,Government
SAN MATEO DIAGNOSTIC LABORATORY,Private
SAN MATEO DIAGNOSTIC LABORATORY,Private
SAN MATEO INTEGRATED COMMUNITY HOSPITAL,Government
"SAN MATEO KIDNEY CARE AND DIALYSIS CENTER, INC",Private
SAN MATEO MULTICARE HOSPITAL INC.,Private
SAN MATEO SUPER HEALTH CENTER,Government
SAN ROQUE BARANGAY HEALTH STATION,Government
SEVILLEJA MEDICAL CLINIC,Private
SINAMAR NORTE BARANGAY HEALTH STATION,Government
SINAMAR SUR BARANGAY HEALTH STATION,Government
UKARE CORPORATION,Private
VICTORIA BARANGAY HEALTH STATION,Government
VILLA CRUZ BARANGAY HEALTH STATION,Government
VILLA GAMIAO BARANGAY HEALTH STATION,Government
VILLA MAGAT BARANGAY HEALTH STATION,Government
VILLAFUERTE BARANGAY HEALTH STATION,Government
ANNANUMAN BARANGAY HEALTH STATION,Government
AUITAN BARANGAY HEALTH STATION,Government
BALLACAYU BARANGAY HEALTH SATION,Government
BINGUANG BARANGAY HEALTH STATION,Government
BUNGAD BARANGAY HEALTH STATION,Government
CADDANGAN/LIMBAUAN BARANGAY HEALTH STATION,Government
CALAMAGUI BARANGAY HEALTH STATION,Government
CARALUCUD BARANGAY HEALTH STATION,Government
GUMINGA BARANGAY HEALTH STATION,Government
MINANGA NORTE BARANGAY HEALTH STATION,Government
MINANGA SUR BARANGAY HEALTH STATION,Government
MUNICIPAL HEALTH OFFICE OF SAN PABLO,Government
POBLACION BARANGAY HEALTH STATION,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SAN VICENTE BARANGAY HEALTH STATION,Government
SIMANU NORTE BARANGAY HEALTH STATION,Government
SIMANU SUR BARANGAY HEALTH STATION,Government
BUENAVISTA BARANGAY HEALTH STATION,Government
CALAMAGUI EAST BARANGAY HEALTH STATION,Government
CALAMAGUI NORTH BARANGAY HEALTH STATION,Government
DIVISORIA BARANGAY HEALTH STATION,Government
ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,Government
FIRSTLAB LABORATORY AND DIAGNOSTIC CENTER,Private
LINGALING BARANGAY HEALTH STATION,Government
MOZZOZIN NORTE BARANGAY HEALTH STATION,Government
MOZZOZZIN SUR BARANGAY HEALTH STATION,Government
NAGANACAN BARANGAY HEALTH STATION,Government
POBLACION I BARANGAY HEALTH STATION,Government
POBLACION II BARANGAY HEALTH STATION,Government
POBLACION III BARANGAY HEALTH STATION,Government
QUINAGABIAN BARANGAY HEALTH STATION,Government
RURAL HEALTH UNIT - STA. MARIA,Government
SAN ANTONIO BARANGAY HEALTH STATION,Government
SAN ISIDRO WEST BARANGAY HEALTH STATION,Government
SAN ISIRDEO EAST BARANGAY HEALTH STATION,Government
SAN RAFAEL EAST BARANGAY HEALTH STATION,Government
SAN RAFAEL WEST BARANGAY HEALTH STATION,Government
SANTA MARIA MAIN HEALTH CENTER,Government
VILLABUENA BARANGAY HEALTH STATION,Government
AMMUGAUAN BARANGAY HEALTH STATION,Government
ANTAGAN BARANGAY HEALTH CENTER,Government
BAGABAG BARANGAY HEALTH CENTER,Government
BAGUTARI BARANGAY HEALTH STATION,Government
BALELLENG BARANGAY HEALTH STATION,Government
BARUMBONG BARANGAY HEALTH STATION,Government
BIGA OCCIDENTAL BARANGAY HEALTH STATION,Government
BIGA ORIENTAL BARANGAY HEALTH STATION,Government
BUBUG BARANGAY HEALTH STATION,Government
CALANIGAN NORTE BARANGAY HEALTH STATION,Government
CALANIGAN SUR BARANGAY HEALTH STATION,Government
CALINAOAN CENTRO BARANGAY HEALTH CENTER,Government
CALINAOAN MALASIN BARANGAY HEALTH STATION,Government
CALINAOAN NORTE BARANGAY HEALTH STATION,Government
CANIOGAN ALTO BARANGAY HEALTH STATION,Government
CAÑOGAN ABAJO NORTE BARANGAY HEALTH CENTER,Government
CAÑOGAN ABAJO SUR BARANGAY HEALTH STATION,Government
COLUNGUAN BARANGAY HEALTH STATION,Government
FRAGERR MEDICAL LABORATORY,Private
MALAPAGAY BARANGAY HEALTH STATION,Government
SAN RAFAEL ABAJO BARANGAY HEALTH STATION,Government
SAN RAFAEL ALTO BARANGAY HEALTH STATION,Government
SAN ROQUE BARANGAY HEALTH STATION,Government
SAN VICENTE BARANGAY HEALTH CENTER,Government
STO. TOMAS RURAL HEALTH UNIT,Government
UAUANG GALICIA BARANGAY HEALTH STATION,Government
UAUANG-TULIAO BARANGAY HEALTH STATION,Government
ANNAFUNAN BARANGAY HEALTH STATION,Government
ANTAGAN I BARANGAY HEALTH STATION,Government
ANTAGAN II BARANGAY HEALTH STATION,Government
ARCON BARANGAY HEALTH STATION,Government
BANTUG BARANGAY HEALTH STATION,Government
BAYABO EAST BARANGAY HEALTH STATION,Government
CUMABAO BARANGAY HEALTH STATION,Government
DY ABRA BARANGAY HEALTH STATION,Government
ELIJAH MEDICAL AND DIAGNOSTIC CENTER,Private
FERMELDY BARANGAY HEALTH STATION,Government
FUGU ABAJO BARANGAY HEALTH STATION,Government
FUGU NORTE BARANGAY HEALTH STATION,Government
LALAUANAN BARANGAY HEALTH STATION,Government
LANNA BARANGAY HEALTH STATION,Government
LAPOGAN BARANGAY HEALTH STATION,Government
LINGALING BARANGAY HEALTH STATION,Government
MALAMAG EAST BARANGAY HEALTH STATION,Government
MALIGAYA BARANGAY HEALTH STATION,Government
MINANGA BARANGAY HEALTH STATION,Government
MOLDERO BARANGAY HEALTH STATION,Government
NAMNAMA BARANGAY HEALTH STATION,Government
PARAGU BARANGAY HEALTH STATION,Government
PILITAN BARANGAY HEALTH STATION,Government
"QUE MEDICAL CLINIC, LYING-IN AND PHARMACY",Private
SAN MATEO BARANGAY HEALTH STATION,Government
SANTA BARANGAY HEALTH STATION,Government
SANTA CATALINA BARANGAY HEALTH CENTER,Government
SINIPPIL BARANGAY HEALTH STATION,Government
SISIM ABAJO BARANGAY HEALTH STATION,Government
SISIM ALTO BARANGAY HEALTH STATION,Government
SPOT ON DIAGNOSTICS INC.,Private
ST. MATTHIAS MEDICAL CENTER OF ISABELA INC.,Private
SUPERIOR CHOICE MEDICAL AND DIAGNOSTIC LABORATORY,Private
TUMAUINI COMMUNITY HOSPITAL,Government
TUMAUINI RURAL HEALTH UNIT,Government
TUMAUNI HEALTH DIAGNOSTIC MEDICAL CORP.,Private
UGAD BARANGAY HEALTH STATION,Government
ABUYO BARANGAY HEALTH STATION I,Government
ABUYO BARANGAY HEALTH STATION II,Government
ALFONSO CASTAÑEDA BIRTHING CLINIC,Government
ALFONSO CASTAÑEDA CLINICAL LABORATORY,Government
ALFONSO CASTAÑEDA MUNICIPAL HOSPITAL,Government
ALFONSO CASTAÑEDA RURAL HEALTH UNIT,Government
CAWAYAN BARANGAY HEALTH STATION,Government
GALINTUJA BARANGAY HEALTH STATION,Government
LIPUGA BARANGAY HEALTH STATION,Government
PELAWAY BARANGAY HEALTH STATION,Government
AMBAGUIO RURAL HEALTH UNIT,Government
AMBAGUIO RURAL HEALTH UNIT AND BIRTHING CLINIC,Government
AMBAGUIO RURAL HEALTH UNIT AND BIRTHING CLINIC,Government
AMMUEG BARANGAY HEALTH STATION,Government
CAMANDAG BARANGAY HEALTH STATION,Government
DULLI BARANGAY HEALTH STATION,Government
LABANG BARANGAY HEALTH STATION,Government
NAPO BARANGAY HEALTH STATION,Government
SALINGSINGAN BARANGAY HEALTH STATION,Government
TIBLAC BARANGAY HEALTH STATION,Government
ANAYO BARANGAY HEALTH STATION,Government
ARITAO BIRTHING CLINIC,Government
ARITAO RURAL HEALTH UNIT,Government
ARITAO RURAL HEALTH UNIT,Government
BAAN BARANGAY HEALTH STATION,Government
BALITE BARANGAY HEALTH STATION,Government
BANGANAN BARANGAY HEALTH STATION,Government
BETI BARANGAY HEALTH STATION,Government
BITE FAMILY PLANNING AND BIRTHING CLINIC,Private
BONE NORTH BARANGAY HEALTH STATION,Government
BONE SOUTH BARANGAY HEALTH STATION,Government
CALITLITAN BARANGAY HEALTH STATION,Government
CANABUAN BARANGAY HEALTH STATION,Government
CANAREM BARANGAY HEALTH STATION,Government
COMON BARANGAY HEALTH STATION,Government
CUTAR BARANGAY HEALTH STATION,Government
DARAPIDAP BARANGAY HEALTH STATION,Government
"INDIGINEOUS PEOPLES' HOSPITAL FOUNDATION OF THE DIOCESE OF BAYOMBONG, INC.",Private
JPF LABORATORY AND DIAGNOSTIC CENTER,Private
KIRANG BARANGAY HEALTH STATION,Government
LATAR BARANGAY HEALTH STATION,Government
NAGCUARTELAN BARANGAY HEALTH STATION,Government
OCAO -CAPINIAAN BARANGAY HEALTH STATION,Government
OCAO-CAPIÑAAN BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
SANTA CLARA BARANGAY HEALTH STATION,Government
TABUENG BARANGAY HEALTH STATION,Government
TUCANON BARANGAY HEALTH STATION,Government
TUI BARANGAY HEALTH STATION,Government
YAWAY BARANGAY HEALTH STATION,Government
"B. BRAUN AVITUM PHILIPPINES, INC.",Private
BAGABAG RURAL HEALTH UNIT,Government
BARETBET BARANGAY HEALTH STATION,Government
CAREB BARANGAY HEALTH STATION,Government
JPF RENAL CARE CENTER,Private
LANTAP BARANGAY HEALTH STATION,Government
